name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-01,19.6,13,16.2,19.6,13,16.2,11.5,74.9,0,0,0,rain,0,0,39.2,22.4,253.2,1000,72.4,40.4,133.2,11.7,4,10,2023-08-01T05:23:40,2023-08-01T20:56:33,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-02,20.1,14.1,16.6,20.1,14.1,16.6,13.5,83.2,5.064,100,75,rain,0,0,34.6,20.7,257.2,987.6,86.1,37.3,138.8,11.9,5,10,2023-08-02T05:25:14,2023-08-02T20:54:50,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-03,19.1,12.6,16.2,19.1,12.6,16.2,11.8,76.7,3.132,100,37.5,rain,0,0,30.4,19.4,321.9,1004.5,57.8,42.6,157.1,13.5,7,10,2023-08-03T05:26:49,2023-08-03T20:53:05,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-04,17.9,13.5,15.2,17.9,13.5,15.2,11.1,77.6,0.28,100,12.5,rain,0,0,25.7,16.3,302.3,1016.8,82.9,33.3,90,8,3,10,2023-08-04T05:28:24,2023-08-04T20:51:19,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-05,13.3,11,12.1,13.3,11,12.1,11,93,11.472,100,79.17,rain,0,0,33.9,20.7,44.1,1008.9,97,14.6,64.3,5.8,2,10,2023-08-05T05:30:00,2023-08-05T20:49:31,0.63,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-06,17.9,9.7,13.8,17.9,7.8,13.5,9.7,77.8,0.018,100,4.17,rain,0,0,29.5,18.9,312.3,1016.5,51.8,48.4,161.8,14,7,10,2023-08-06T05:31:36,2023-08-06T20:47:42,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-07,20,10,14.9,20,9.1,14.8,9.1,70.9,0,0,0,rain,0,0,35.6,23,275.7,1018.7,37.4,44.9,207.8,18.1,10,10,2023-08-07T05:33:13,2023-08-07T20:45:51,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E7347,EGBB,03535099999,03560099999,EGNX,03544099999,03529099999,03462099999,03647099999,03418599999,03379099999,03354099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-08,15.9,9.9,13.5,15.9,9,13.5,10.9,84.2,0.562,100,25,rain,0,0,20.1,11,246.2,1014.6,61.7,42.3,88.6,7.7,3,10,2023-08-08T05:34:50,2023-08-08T20:43:58,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-09,22.8,8.9,16.9,22.8,8.2,16.9,11.6,72.6,0.023,100,4.17,rain,0,0,22.4,15.5,261.6,1017.1,32.2,50.6,187.1,16.1,9,10,2023-08-09T05:36:28,2023-08-09T20:42:04,0.76,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-10,26.1,14,20.7,26.1,14,20.7,15.2,72.7,0,0,0,,0,0,33.1,17.6,178.5,1017.9,26.7,41.8,219.6,18.9,8,10,2023-08-10T05:38:06,2023-08-10T20:40:08,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,E7347,EGBB,03379099999,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-11,23.8,17.8,20.2,23.8,17.8,20.2,13.5,67.3,0,0,0,rain,0,0,33.6,19.4,226.6,1015.6,51.7,30.5,271.9,23.6,10,10,2023-08-11T05:39:44,2023-08-11T20:38:11,0.83,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-12,20.7,13.5,17.3,20.7,13.5,17.3,13.3,77.8,0.368,100,16.67,rain,0,0,43.7,23.4,213.9,1012.1,60.2,38.2,160.5,14,10,10,2023-08-12T05:41:23,2023-08-12T20:36:12,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-13,19.7,14.8,17.1,19.7,14.8,17.1,12.8,77.1,0.918,100,16.67,rain,0,0,36.7,21.1,217.2,1011.9,82.3,51,152.1,13.1,6,10,2023-08-13T05:43:01,2023-08-13T20:34:13,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-14,20.5,14.7,17.1,20.5,14.7,17.1,14.2,83.8,5.419,100,50,rain,0,0,42.9,21.9,199.6,1008.7,83.9,43.1,78.5,6.8,4,10,2023-08-14T05:44:40,2023-08-14T20:32:12,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-15,21.9,11.7,16.9,21.9,11.7,16.9,12.3,75.9,0,0,0,rain,0,0,21.9,13.5,258.9,1014.9,29.2,48.4,195,16.9,9,10,2023-08-15T05:46:19,2023-08-15T20:30:09,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-16,23,11.4,17.8,23,11.4,17.8,12,71.3,0.027,100,4.17,rain,0,0,18.2,11.3,23.7,1020.9,31.4,48,237.1,20.3,9,10,2023-08-16T05:47:59,2023-08-16T20:28:06,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-17,23.1,14,18.2,23.1,14,18.2,13.1,73.8,0,0,0,,0,0,38.9,24.3,86.5,1020.4,55.1,28.4,205.2,17.6,8,10,2023-08-17T05:49:38,2023-08-17T20:26:01,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E7347,EGBB,03535099999,03560099999,EGNX,03544099999,03529099999,03462099999,03418599999,03647099999,03379099999,03354099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-18,22,15,18,22,15,18,15.2,84.3,2.913,100,37.5,rain,0,0,33.3,20.8,97.9,1013.9,83.9,23.2,106.9,9.1,6,10,2023-08-18T05:51:18,2023-08-18T20:23:56,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-19,23.3,16.8,19.4,23.3,16.8,19.4,14.5,74.6,1.069,100,20.83,rain,0,0,41.6,25.6,205.7,1011.3,75.8,40.3,168.4,14.6,8,10,2023-08-19T05:52:57,2023-08-19T20:21:49,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-20,22.8,14.2,18.3,22.8,14.2,18.3,13.2,74.1,0,0,0,,0,0,30.1,18.8,215.1,1020.3,56.4,42.4,190.2,16.4,9,10,2023-08-20T05:54:37,2023-08-20T20:19:41,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,E7347,03647099999,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-21,21.8,11.8,17.6,21.8,11.8,17.6,13.2,77.2,0.077,100,8.33,rain,0,0,30.8,16.1,215.9,1021.9,45,39.6,200.6,17.1,10,10,2023-08-21T05:56:17,2023-08-21T20:17:32,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-22,22.1,15,18.5,22.1,15,18.5,13.6,74.7,0.039,100,4.17,rain,0,0,30.3,17.9,237.8,1019.3,59.2,42.8,191.8,16.5,8,10,2023-08-22T05:57:56,2023-08-22T20:15:23,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-23,23.3,12.7,17.8,23.3,12.7,17.8,13.3,76.6,0,0,0,,0,0,19.3,11.4,237.1,1019.3,50.4,32.8,201.6,17.5,9,10,2023-08-23T05:59:36,2023-08-23T20:13:12,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-24,23.1,14.7,18.3,23.1,14.7,18.3,13.5,75.4,0.013,100,4.17,rain,0,0,26.3,18.5,298.6,1012.2,44.8,29.9,168.9,14.6,9,10,2023-08-24T06:01:16,2023-08-24T20:11:00,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03529099999,03462099999,E7347,EGBB,03418599999,03379099999,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-25,18.6,9.3,14.4,18.6,8.9,14.3,9.5,74,1.726,100,12.5,rain,0,0,29.5,17.4,249,1009.3,53.1,42.3,159.8,13.9,7,10,2023-08-25T06:02:56,2023-08-25T20:08:48,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03529099999,03462099999,E7347,EGBB,03418599999,03379099999,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-26,17.3,10.4,13.8,17.3,10.4,13.8,10.9,83.6,2.361,100,41.67,rain,0,0,20.8,11.8,246.1,1007.6,55.3,38.7,122.8,10.7,7,10,2023-08-26T06:04:36,2023-08-26T20:06:35,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-27,17.3,9.6,13.7,17.3,8.6,13.5,10.2,80.4,0.052,100,8.33,rain,0,0,32,21.1,283.2,1010.2,60.8,40.6,116.5,9.9,8,10,2023-08-27T06:06:15,2023-08-27T20:04:21,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03462099999,E7347,EGBB,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-28,17.4,10.7,14.5,17.4,10.7,14.5,10.3,77.2,0,0,0,rain,0,0,25.5,16.1,300.7,1014.5,81.5,39.4,97.5,8.5,3,10,2023-08-28T06:07:55,2023-08-28T20:02:06,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-29,17.9,12.2,14.7,17.9,12.2,14.7,11.5,81.9,4.166,100,29.17,rain,0,0,27.4,14.5,241.6,1011.5,93.1,34.6,93.9,8.1,5,10,2023-08-29T06:09:35,2023-08-29T19:59:51,0.45,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-30,18.4,9.9,13.5,18.4,8.7,13.5,9.3,77.2,0.281,100,16.67,rain,0,0,30.2,20.3,291.1,1008.2,35.8,36.9,195.7,17,9,10,2023-08-30T06:11:15,2023-08-30T19:57:35,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-08-31,17,9.1,13,17,9,12.9,10.4,85,1.647,100,25,rain,0,0,18.7,14.3,179.7,1009.2,71.6,24.3,89.4,7.7,4,10,2023-08-31T06:12:55,2023-08-31T19:55:19,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,E7347,EGBB,03418599999,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-01,20,14,16.5,20,14,16.5,14,86.5,0.5,100,29.17,rain,0,0,14.6,9.8,64.1,1010.8,91,22,91.3,8.2,4,10,2023-09-01T06:14:34,2023-09-01T19:53:01,0.55,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-02,22.5,14.1,17.7,22.5,14.1,17.7,13.8,79.4,0.027,100,4.17,rain,0,0,20.9,12.9,66.3,1021.1,67.3,31.7,93.1,8,4,10,2023-09-02T06:16:14,2023-09-02T19:50:44,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-03,24.9,10.5,17.6,24.9,10.5,17.6,12.5,75.5,0,0,0,,0,0,12.9,6.8,290,1026.6,4.7,31.3,194.3,16.9,7,10,2023-09-03T06:17:54,2023-09-03T19:48:25,0.61,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-04,28.3,12.1,19.9,28.2,12.1,19.9,13.8,71.5,0,0,0,,0,0,19.7,11.2,108.9,1023.2,5.2,28.8,190.3,16.5,7,10,2023-09-04T06:19:34,2023-09-04T19:46:07,0.65,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03462099999,E7347,03647099999,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-05,27.4,13.2,19.6,27.6,13.2,19.6,14.1,73.4,0,0,0,,0,0,38.2,22.3,58.4,1018.4,3.9,23.7,191.3,16.6,7,10,2023-09-05T06:21:13,2023-09-05T19:43:47,0.68,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03462099999,E7347,EGBB,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-06,27.6,14.1,19.9,27.9,14.1,20,15.3,77.3,0,0,0,,0,0,13.3,7.8,46,1019.1,25.5,17.1,169.8,14.8,6,10,2023-09-06T06:22:53,2023-09-06T19:41:28,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03529099999,03462099999,E7347,03647099999,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-07,29.7,16,22.2,29.5,16,22.2,15.9,70.3,0,0,0,,0,0,25.3,14.2,58.1,1017.5,9.9,21.9,189.7,16.5,7,10,2023-09-07T06:24:33,2023-09-07T19:39:08,0.75,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03462099999,E7347,EGBB,03379099999,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-08,28.9,14.3,21.5,29.4,14.3,21.6,16.3,74.8,0,0,0,,0,0,13.5,7.7,322.3,1016.1,15.3,14.5,141.4,12.3,6,10,2023-09-08T06:26:12,2023-09-08T19:36:47,0.78,Clear,Clear conditions throughout the day.,clear-day,"03462099999,E7347,EGBB,03379099999,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-09,30.4,17.3,23.5,30.7,17.3,23.7,17.3,71.5,0,0,0,,0,0,19.1,10.3,240.8,1015.4,8.6,20.6,169.2,14.6,7,30,2023-09-09T06:27:52,2023-09-09T19:34:26,0.81,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-10,25.9,16.9,21.3,25.9,16.9,21.3,17.7,80.5,3.247,100,20.83,rain,0,0,17.4,7.9,232.1,1014.6,29.6,16.7,109.7,9.6,7,30,2023-09-10T06:29:31,2023-09-10T19:32:05,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-11,22.3,17.3,19.7,22.3,17.3,19.7,16.1,80.2,0.355,100,29.17,rain,0,0,29,16.9,236.8,1012.1,70.5,28.3,130.5,11.4,6,10,2023-09-11T06:31:11,2023-09-11T19:29:44,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-12,17.6,12.8,15.8,17.6,12.8,15.8,14.6,92.8,11.068,100,75,rain,0,0,35.7,19.9,358.8,1014.1,97.8,19.3,41.5,3.6,1,10,2023-09-12T06:32:51,2023-09-12T19:27:22,0.91,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-13,18.4,8.6,13.7,18.4,7.6,13.5,9.7,78.7,0.027,100,4.17,rain,0,0,20.7,13.3,29.5,1021.7,30.1,33.8,134.3,11.7,8,10,2023-09-13T06:34:31,2023-09-13T19:25:00,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-14,18.1,11.6,15.1,18.1,11.6,15.1,12.6,85.1,0.491,100,20.83,rain,0,0,24.5,16.7,205.6,1019.8,87.3,32.1,66.9,5.7,3,10,2023-09-14T06:36:10,2023-09-14T19:22:38,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,E7347,EGBB,03379099999,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-15,22.5,11.7,16.6,22.5,11.7,16.6,12.6,79.3,0.174,100,12.5,rain,0,0,18.4,10.3,164.9,1014.8,37.1,31.4,135.4,11.8,6,10,2023-09-15T06:37:50,2023-09-15T19:20:16,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-16,20.8,11.8,15.9,20.8,11.8,15.9,12.6,82.3,0,0,0,,0,0,29.2,17.9,45.2,1014.4,37.6,16.7,99.8,8.6,6,10,2023-09-16T06:39:30,2023-09-16T19:17:54,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-17,19.6,14.1,16.6,19.6,14.1,16.6,14.2,85.9,0.509,100,20.83,rain,0,0,28.8,17.3,86.3,1011.5,79.9,15.7,54.8,4.9,2,10,2023-09-17T06:41:10,2023-09-17T19:15:31,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-18,17.8,11.4,15.4,17.8,11.4,15.4,12.4,83.1,15.569,100,50,rain,0,0,43.3,28,237.9,1000.7,64.3,37.2,92.3,8.1,5,10,2023-09-18T06:42:50,2023-09-18T19:13:09,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-19,19,11.3,15.4,19,11.3,15.4,12.2,81,0.185,100,16.67,rain,0,0,66.6,34.1,216.7,1001.4,78.1,27.4,48,4.1,2,10,2023-09-19T06:44:30,2023-09-19T19:10:46,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03462099999,E7347,EGBB,03418599999,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-20,17.2,12.8,16,17.2,12.8,16,13.9,87.6,10.765,100,70.83,rain,0,0,55.8,32.8,201.8,995.2,95.2,25.5,25.8,2.2,1,10,2023-09-20T06:46:10,2023-09-20T19:08:24,0.19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03529099999,03462099999,E7347,EGBB,03647099999,03379099999,03354099999,03535099999,03560099999,EGNX,EGXT,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-21,16.6,8.7,12.3,16.6,8,12.1,9.8,86,1.588,100,45.83,rain,0,0,25.4,15.8,205.2,994.8,37.7,34.6,89.9,7.8,5,10,2023-09-21T06:47:50,2023-09-21T19:06:01,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-22,15.1,7.2,11.4,15.1,6.1,11.2,9,85.4,0.935,100,29.17,rain,0,0,27.2,16.6,267.7,1000.5,50.1,36.5,133.6,11.5,7,10,2023-09-22T06:49:31,2023-09-22T19:03:38,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,E7347,03647099999,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-23,16.2,7.5,11.6,16.2,5.7,11.1,7.1,75.4,0,0,0,rain,0,0,25.4,16,236.4,1014.1,27.4,38.6,94.9,8.1,5,10,2023-09-23T06:51:11,2023-09-23T19:01:16,0.29,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-24,19.4,11.5,15.8,19.4,11.5,15.8,12.5,81.2,1.008,100,41.67,rain,0,0,46.6,25,183.5,1014.8,88.3,32.3,51.8,4.4,2,10,2023-09-24T06:52:52,2023-09-24T18:58:54,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,03462099999,E7347,03647099999,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-25,19.8,13.1,16.1,19.8,13.1,16.1,11.7,76.6,0.575,100,16.67,rain,0,0,36.6,20,209.6,1016.8,30.6,27.4,127.7,11.1,6,10,2023-09-25T06:54:33,2023-09-25T18:56:31,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03529099999,03462099999,E7347,03647099999,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-26,19.3,11.6,15,19.3,11.6,15,12.2,84.4,5.869,100,20.83,rain,0,0,35.5,18.8,198.7,1015.7,60.3,28.9,83.9,7.2,6,10,2023-09-26T06:56:14,2023-09-26T18:54:09,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-27,18.8,10.8,15,18.8,10.8,15,12.6,85.6,0.269,100,16.67,rain,0,0,46.7,25.2,168.5,1012.1,70.5,25,51,4.4,2,10,2023-09-27T06:57:55,2023-09-27T18:51:47,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-28,16.8,13.5,15,16.8,13.5,15,11.2,78.1,2.485,100,8.33,rain,0,0,42.5,23.6,205.7,1010.5,64.4,19.9,62.7,5.5,2,10,2023-09-28T06:59:36,2023-09-28T18:49:25,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"E7347,EGBB,03535099999,03560099999,EGNX,03544099999,03529099999,03462099999,03647099999,03418599999,03379099999,03354099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-29,18.1,12.2,14.5,18.1,12.2,14.5,10.7,79.8,2.552,100,33.33,rain,0,0,36.4,20.9,260.6,1016.8,42.2,27.9,122.4,10.5,6,10,2023-09-29T07:01:18,2023-09-29T18:47:04,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03529099999,03462099999,E7347,03647099999,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-09-30,16.4,9.9,13.5,16.4,9.7,13.5,10.6,82.7,0.791,100,33.33,rain,0,0,27.4,14.6,192,1023.1,60.6,28.8,77.1,6.6,3,10,2023-09-30T07:03:00,2023-09-30T18:44:43,0.53,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-10-01,20.2,15.9,18.3,20.2,15.9,18.3,15.7,85,0.38,100,29.17,rain,0,0,29.4,16.1,213.9,1018.2,98.8,49.1,35,3,2,10,2023-10-01T07:04:42,2023-10-01T18:42:22,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
