name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-15,25.3,10.8,18.7,25.3,10.8,18.7,11.9,68.5,0,0,0,,0,0,22.3,13.4,58.7,1020.8,9.8,23.5,312.3,27,9,10,2023-06-15T04:41:11,2023-06-15T21:28:28,0.9,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03462099999,E7347,EGBB,03418599999,03647099999,03379099999,03354099999,03535099999,03560099999,EGNX,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-16,25.3,12.4,19.7,25.3,12.4,19.7,9.5,54.8,0,0,0,,0,0,23.3,13.1,100.1,1019.4,9.9,37.1,306.4,26.5,9,10,2023-06-16T04:41:05,2023-06-16T21:28:58,0.94,Clear,Clear conditions throughout the day.,clear-day,"03529099999,E7347,03647099999,03379099999,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-17,23.4,12.8,18.3,23.4,12.8,18.3,9.3,56.6,0.106,100,4.17,rain,0,0,27.1,13.2,114,1014.6,23.1,35.2,197.5,17,8,10,2023-06-17T04:41:02,2023-06-17T21:29:25,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03462099999,E7347,EGBB,03418599999,03379099999,03354099999,03535099999,03560099999,EGNX,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-18,24.1,14,18,24.1,14,18,13.5,75.9,15.893,100,37.5,rain,0,0,34.1,13,84.9,1008.9,47.6,19.5,155,13.4,6,30,2023-06-18T04:41:02,2023-06-18T21:29:48,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E7347,EGBB,03535099999,03560099999,EGNX,03544099999,03529099999,03462099999,03647099999,03418599999,03379099999,03354099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-19,23.6,14,18.5,23.6,14,18.5,13.7,75.8,2.085,100,8.33,rain,0,0,24.3,14,213.7,1008.9,40.3,29.3,243.2,20.8,9,10,2023-06-19T04:41:06,2023-06-19T21:30:08,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,E9265,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-20,20.5,13.5,16.9,20.5,13.5,16.9,14.4,85.9,13.146,100,33.33,rain,0,0,23.5,15.5,272.6,1007.8,70.9,27.8,129.3,11.1,4,10,2023-06-20T04:41:13,2023-06-20T21:30:25,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,D7144,03560099999,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-21,23,13.2,18.5,23,13.2,18.5,13.7,75.5,0.563,100,16.67,rain,0,0,24.8,14.8,229.4,1014.6,33.2,36.4,228,19.7,8,10,2023-06-21T04:41:23,2023-06-21T21:30:39,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03529099999,03462099999,E7347,03354099999,03535099999,03560099999,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-22,24.3,14.1,18.9,24.3,14.1,18.9,14.7,78.2,2.264,100,20.83,rain,0,0,24.4,16,2.7,1019,32.8,28,204.9,17.7,9,10,2023-06-22T04:41:36,2023-06-22T21:30:50,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03462099999,E7347,EGBB,03418599999,03379099999,03354099999,03535099999,03560099999,EGNX,03544099999,EGXT"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-23,23.3,13.8,18.7,23.3,13.8,18.7,13.9,75.7,0,0,0,,0,0,27.4,16,236.3,1022.6,45.8,32.7,209.2,17.9,8,10,2023-06-23T04:41:52,2023-06-23T21:30:58,0.17,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"03529099999,03462099999,EGBB,E7347,03647099999,03379099999,03354099999,03535099999,03560099999,EGNX,EGXT,03544099999"
"Husbands Bosworth, Lutterworth, England, United Kingdom",2023-06-24,26.1,16,21.1,26.1,16,21.1,15.9,73.6,0,0,0,rain,0,0,22.3,12.6,216.1,1021.8,61.3,45.3,220.7,19.2,8,10,2023-06-24T04:42:12,2023-06-24T21:31:02,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
